age,sex,geo\time	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
Y15-24,F,AT	8.8 	9.4 	8.2 	9.1 	9.3 	9.9 	10.1 	6.5 	5.8 	5.6 	5.3 	5.4 
Y15-24,F,AT1	11.2 	11.4 	10.3 	10.2 	11.7 	12.0 	13.0 	7.3 	6.6 	6.0 	4.8 	5.1 
Y15-24,F,AT11	9.3 	8.3 	6.1 	10.0 	11.8 	14.0 	13.7 	8.0 	7.5 	7.5 	3.5 	4.9 
Y15-24,F,AT111	: 	8.3 	5.1 	10.2 	10.5 	12.7 	13.3 	6.7 	6.2 	5.7 	2.6 	4.1 
Y15-24,F,AT112	: 	7.3 	5.6 	9.3 	10.4 	12.7 	11.8 	6.8 	6.4 	5.8 	2.6 	3.6 
Y15-24,F,AT113	: 	9.8 	7.1 	11.1 	14.4 	16.3 	16.3 	10.1 	9.6 	10.3 	5.0 	7.0 
Y15-24,F,AT12	7.7 	10.2 	9.4 	8.2 	8.2 	8.2 	10.8 	7.6 	5.9 	4.9 	4.9 	4.8 
Y15-24,F,AT121	: 	8.9 	7.4 	6.9 	7.1 	6.9 	9.3 	6.5 	5.4 	4.3 	5.6 	4.7 
Y15-24,F,AT122	: 	12.0 	10.5 	8.9 	9.1 	9.0 	11.9 	8.4 	6.9 	5.5 	0.8 	5.3 
Y15-24,F,AT123	: 	12.3 	11.5 	9.7 	8.8 	9.2 	13.0 	8.5 	8.1 	6.7 	8.0 	6.2 
Y15-24,F,AT124	: 	10.5 	10.4 	9.3 	9.3 	9.2 	11.8 	8.5 	6.6 	5.9 	7.1 	6.0 
Y15-24,F,AT125	: 	10.3 	9.4 	9.4 	8.8 	8.7 	11.3 	8.1 	5.2 	4.5 	4.9 	4.2 
Y15-24,F,AT126	: 	8.8 	8.6 	6.9 	7.3 	7.6 	9.4 	6.1 	4.2 	3.6 	4.3 	3.7 
Y15-24,F,AT127	: 	10.0 	9.4 	7.8 	7.8 	8.0 	10.5 	7.7 	5.6 	4.6 	4.7 	4.2 
Y15-24,F,AT13	14.6 	12.9 	11.9 	12.2 	15.0 	15.6 	15.5 	6.9 	7.2 	7.0 	5.0 	5.5 
Y15-24,F,AT130	: 	12.9 	11.9 	12.2 	15.0 	15.6 	15.5 	6.9 	7.2 	7.0 	5.0 	5.5 
Y15-24,F,AT2	8.7 	9.4 	6.7 	8.3 	9.2 	9.7 	7.7 	6.3 	5.6 	6.6 	7.5 	6.6 
Y15-24,F,AT21	8.0 	8.2 	8.5 	10.1 	9.4 	13.9 	10.3 	10.7 	6.1 	5.4 	6.9 	6.8 
Y15-24,F,AT211	: 	8.7 	8.7 	10.3 	9.4 	14.9 	11.0 	11.2 	6.3 	5.6 	9.0 	6.5 
Y15-24,F,AT212	: 	8.5 	9.1 	10.9 	10.4 	14.6 	10.3 	10.1 	6.1 	5.4 	1.0 	7.7 
Y15-24,F,AT213	: 	7.1 	7.7 	9.3 	8.4 	11.7 	9.1 	10.3 	5.6 	5.1 	8.9 	6.6 
